Run_name	WM_retained	CSF_retained
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-031/func/sub-031_task-regularity_run-3_desc-confounds_timeseries.json	5	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-031/func/sub-031_task-regularity_run-4_desc-confounds_timeseries.json	5	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-032/func/sub-032_task-localizer_desc-confounds_timeseries.json	105	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-032/func/sub-032_task-regularity_run-1_desc-confounds_timeseries.json	2	14
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-032/func/sub-032_task-regularity_run-2_desc-confounds_timeseries.json	6	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-032/func/sub-032_task-regularity_run-3_desc-confounds_timeseries.json	9	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-032/func/sub-032_task-regularity_run-4_desc-confounds_timeseries.json	8	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-033/func/sub-033_task-localizer_desc-confounds_timeseries.json	1	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-033/func/sub-033_task-regularity_run-1_desc-confounds_timeseries.json	1	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-033/func/sub-033_task-regularity_run-2_desc-confounds_timeseries.json	1	27
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-033/func/sub-033_task-regularity_run-3_desc-confounds_timeseries.json	1	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-033/func/sub-033_task-regularity_run-4_desc-confounds_timeseries.json	2	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-034/func/sub-034_task-localizer_desc-confounds_timeseries.json	7	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-034/func/sub-034_task-regularity_run-1_desc-confounds_timeseries.json	48	28
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-034/func/sub-034_task-regularity_run-2_desc-confounds_timeseries.json	21	28
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-034/func/sub-034_task-regularity_run-3_desc-confounds_timeseries.json	23	27
